XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/19/2025 00:00,4076.86,4077.72,4073.1,4073.36,-350,-0.09,
11/18/2025 23:59,4076.95,4077.17,4076.23,4076.81,-14,0.00,
11/18/2025 23:58,4076.51,4077.81,4075.92,4077,49,0.01,
11/18/2025 23:57,4074.78,4076.27,4074.7,4076.26,148,0.04,
11/18/2025 23:56,4074.64,4075.12,4074.24,4074.7,6,0.00,
11/18/2025 23:55,4074.42,4075.18,4073.6,4074.69,27,0.01,
11/18/2025 23:54,4071.97,4074.55,4071.08,4074.25,228,0.06,
11/18/2025 23:53,4072.55,4072.81,4071.7,4071.94,-61,-0.01,
11/18/2025 23:52,4073.17,4073.25,4071.96,4072.69,-48,-0.01,
11/18/2025 23:51,4071.05,4073.05,4071.05,4073.05,200,0.05,
11/18/2025 23:50,4070.47,4071.25,4070.14,4071.15,68,0.02,
11/18/2025 23:49,4071.84,4071.84,4070.11,4070.49,-135,-0.03,
11/18/2025 23:48,4072.11,4073.17,4071.36,4071.94,-17,0.00,
11/18/2025 23:47,4073.11,4073.11,4070.63,4072.17,-94,-0.02,
11/18/2025 23:46,4075.06,4075.16,4072.85,4073.23,-183,-0.04,
11/18/2025 23:45,4073.53,4075.04,4073.01,4075,147,0.04,
11/18/2025 23:44,4071.87,4073.79,4071.87,4073.13,126,0.03,
11/18/2025 23:43,4070.68,4072.06,4070.56,4071.9,122,0.03,
11/18/2025 23:42,4068.59,4070.91,4068.59,4070.72,213,0.05,
11/18/2025 23:41,4069.05,4069.41,4068.41,4068.62,-43,-0.01,
11/18/2025 23:40,4068.97,4069.27,4068.63,4069.11,14,0.00,
11/18/2025 23:39,4069.29,4069.3,4068.31,4069.12,-17,0.00,
11/18/2025 23:38,4069.72,4070.17,4069.08,4069.09,-63,-0.02,
11/18/2025 23:37,4069.35,4070.31,4069.35,4069.61,26,0.01,
11/18/2025 23:36,4069.67,4069.67,4068.79,4069.33,-34,-0.01,
11/18/2025 23:35,4069.48,4069.86,4068.86,4069.63,15,0.00,
11/18/2025 23:34,4069.16,4069.56,4068.41,4069.54,38,0.01,
11/18/2025 23:33,4069.07,4069.65,4068.33,4069.19,12,0.00,
11/18/2025 23:32,4068.44,4069.72,4068.4,4069.07,63,0.02,
11/18/2025 23:31,4070.36,4070.43,4067.87,4068.54,-182,-0.04,
11/18/2025 23:30,4071.45,4071.45,4069.02,4070.57,-88,-0.02,
11/18/2025 23:29,4071.33,4071.46,4071.01,4071.32,-1,0.00,
11/18/2025 23:28,4072.18,4072.18,4071.38,4071.55,-63,-0.02,
11/18/2025 23:27,4072.75,4072.75,4071.74,4072.21,-54,-0.01,
11/18/2025 23:26,4071.48,4072.77,4071.48,4072.77,129,0.03,
11/18/2025 23:25,4072.61,4072.9,4071.91,4071.92,-69,-0.02,
11/18/2025 23:24,4072.14,4072.68,4072.13,4072.65,51,0.01,
11/18/2025 23:23,4072.1,4072.63,4071.95,4072.14,4,0.00,
11/18/2025 23:22,4073.15,4073.16,4072.2,4072.23,-92,-0.02,
11/18/2025 23:21,4071.84,4073.36,4071.74,4073.15,131,0.03,
11/18/2025 23:20,4072.44,4072.45,4071.45,4071.78,-66,-0.02,
11/18/2025 23:19,4070.86,4072.52,4070.82,4072.43,157,0.04,
11/18/2025 23:18,4071,4071.61,4070.83,4070.94,-6,0.00,
11/18/2025 23:17,4073.32,4073.46,4070.86,4070.95,-237,-0.06,
11/18/2025 23:16,4071.74,4073.24,4071.67,4073.19,145,0.04,
11/18/2025 23:15,4071.31,4071.99,4071.31,4071.84,53,0.01,
11/18/2025 23:14,4071.32,4071.32,4069.9,4071.16,-16,0.00,
11/18/2025 23:13,4071.39,4072.37,4071.25,4071.32,-7,0.00,
11/18/2025 23:12,4070.06,4071.22,4069.73,4071.16,110,0.03,
11/18/2025 23:11,4070.54,4071.67,4070.38,4070.54,0,0.00,
11/18/2025 23:10,4072.27,4072.87,4070.24,4070.45,-182,-0.04,
11/18/2025 23:09,4071.55,4072.5,4071.54,4072.48,93,0.02,
11/18/2025 23:08,4069.77,4072.09,4069.57,4071.54,177,0.04,
11/18/2025 23:07,4070.47,4070.89,4069.23,4069.76,-71,-0.02,
